player_name,injury_status
Justin Jones,IR
Christian Jones,IR
Hayden Conner,IR
Will Hernandez,Q
J.J. Russell,IR
Bilal Nichols,OUT
BJ Ojulari,OUT
Walter Nolen III,OUT
Trishton Jackson,IR
Valentin Senn,IR
Starling Thomas V,IR
Sean Murphy-Bunting,OUT
Tyrone Wheatley Jr.,IR
Jack Nelson,Q
DeMarcco Hellams,Q
Darnell Mooney,Q
Bralen Trice,IR
Storm Norton,IR
Malik Verdon,OUT
Ta'Quon Graham,IR
Troy Andersen,OUT
Kaleb McGary,IR
Emory Jones,IR
Clark Phillips III,Q
Grayland Arnold,IR
Daniel Faalele,Q
Isaiah Likely,Q
Jaire Alexander,Q
Patrick Ricard,Q
Ar'Darius Washington,OUT
Emery Jones Jr.,OUT
Adisa Isaac,IR
Dayton Wade,IR
Robert Longerbeam,IR
Bilhal Kone,IR
Gabe Davis,Q
Keon Coleman,Q
Tyler Bass,Q
Tre'Davious White,Q
Christian Benford,Q
DeWayne Carter,OUT
Wande Owens,IR
Tylan Grable,IR
Maxwell Hairston,IR
Damarri Mathis,Q
Robert Hunt,Q
Ikem Ekwonu,D
Jalen Coker,IR
Damien Lewis,Q
LaBryan Ray,IR
Popo Aumavae,IR
Jonathon Brooks,OUT
Tysheem Johnson,Q
Jaylon Johnson,Q
Austin Booker,IR
Amen Ogbongbemiga,IR
Doug Kramer Jr.,IR
Zah Frazier,OUT
Travis Homer,IR
Case Keenum,Q
Terell Smith,IR
Tremaine Edmunds,Q
Kyler Gordon,Q
Deion Hankins,IR
Shemar Turner,Q
Kyle Monangai,Q
Roschon Johnson,Q
Cordell Volson,IR
Cedric Johnson,IR
Daijahn Anthony,IR
Tanner McLachlan,IR
Erick All Jr.,OUT
Denzel Ward,Q
Shelby Harris,Q
Mike Hall Jr.,Q
Ethan Pocic,Q
Winston Reid,IR
Cade McDonald,IR
David Bell,OUT
Deshaun Watson,OUT
Blake Whiteheart,Q
Nathaniel Watson,IR
Mohamoud Diabate,Q
Anthony Kendall,IR
Martin Emerson Jr.,IR
Justin Osborne,IR
Jeremiah Owusu-Koramoah,OUT
Perrion Winfrey,OUT
John Stephens Jr.,IR
Christian Matthew,IR
Caelen Carson,IR
Phil Mafah,IR
Payton Turner,IR
Shavon Revel Jr.,OUT
DeMarvion Overshown,OUT
Jonathan Mingo,IR
Rob Jones,IR
Josh Butler,OUT
Dre Greenlaw,Q
Kristian Williams,IR
Drew Sanders,IR
Michael Burton,IR
Nate Adkins,OUT
Nick Gargiulo,IR
Matt Henningsen,IR
Johnny Walker Jr.,IR
Trevor Nowaske,Q
Kayode Awosika,Q
Isaac TeSlaa,Q
Sione Vaki,Q
Miles Frazier,OUT
Ezekiel Turner,IR
Josh Paschal,OUT
Malcolm Rodriguez,OUT
Alim McNeill,OUT
Colby Sorsdal,IR
Justin Herron,IR
Kenny Yeboah,IR
Ennis Rakestraw Jr.,IR
Kye Robichaux,IR
Dan Jackson,IR
Levi Onwuzurike,OUT
Elgton Jenkins,Q
Savion Williams,Q
Dontayvion Wicks,Q
Micah Parsons,Q
Jayden Reed,Q
John Williams,OUT
Jacob Monk,IR
Omar Brown,IR
Collin Oliver,OUT
MarShawn Lloyd,IR
Christian Watson,OUT
Barryn Sorrell,Q
Zayne Anderson,Q
Travis Glover,IR
Nate Hobbs,Q
C.J. Gardner-Johnson,Q
Braxton Berrios,Q
Denico Autry,OUT
Joe Mixon,OUT
Alijah Huzzie,OUT
Jaylen Reed,IR
Irv Smith Jr.,IR
Tank Dell,OUT
Jimmie Ward,OUT
Blake Fisher,Q
Brevin Jordan,IR
Kyonte Hamilton,IR
Kurt Hinish,OUT
Tyler Goodson,Q
Maddux Trujillo,IR
Jaylon Carlies,IR
Hunter Wohler,IR
Jacob Phillips,IR
Blake Freeland,IR
D.J. Montgomery,IR
Justin Walley,IR
Salvon Ahmed,IR
Jack Wilson,IR
Cole Van Lanen,Q
Wyatt Milum,Q
Jalen McLeod,IR
Caleb Ransaw,IR
Joshua Cephus,IR
Montaric Brown,Q
Cooper Hodges,OUT
Jalen Royals,OUT
Nazeeh Johnson,IR
Brandon George,IR
Ethan Driskell,OUT
Jake Briningstool,IR
Omarr Norman-Lott,Q
Felix Anudike-Uzomah,IR
Deon Bush,IR
Janarius Robinson,IR
Eric Scott Jr.,IR
Keaontay Ingram,IR
BJ Thompson,OUT
Lonnie Johnson Jr.,IR
Aidan O'Connell,IR
Kenny Pickett,Q
Kyu Blu Kelly,Q
Eric Rogers,IR
Deane Leonard,IR
Josh Harris,IR
Junior Colson,IR
Jordan Oladokun,IR
Rashawn Slater,IR
Josh Fuga,IR
Alaric Jackson,Q
Josaiah Stewart,Q
Keir Thomas,IR
Jared Verse,Q
Nate Landman,Q
Bayron Matos,Q
Darren Waller,Q
Austin Jackson,Q
De'Von Achane,Q
Jaylen Wright,D
Tyreek Hill,Q
Dee Eskridge,Q
Ashtyn Davis,Q
Cam Smith,OUT
Liam Eichenberg,OUT
Andrew Meyer,IR
Jason Sanders,IR
Yodny Cajuste,IR
Ethan Bonner,Q
Germain Ifedi,IR
Alexander Mattison,IR
Jalin Conyers,IR
Kader Kohou,IR
Obinna Eze,IR
Artie Burns,IR
Jason Maitre,IR
Harrison Smith,Q
Jalen Nailor,Q
Tyler Batty,IR
Gavin Bartholomew,OUT
C.J. Ham,IR
Tai Felton,Q
Zavier Scott,Q
Christian Darrisaw,Q
Andrew Van Ginkel,Q
Justin Jefferson,Q
Levi Drake Rodriguez,Q
Zeke Correll,IR
Rondale Moore,IR
Matt Nelson,IR
Alex Williams,IR
Christian Gonzalez,Q
Stefon Diggs,Q
Layden Robinson,IR
Jahlani Tavai,IR
Ja'Lynn Polk,IR
Efton Chism III,Q
Kyle Williams,Q
Rhamondre Stevenson,Q
Isaiah Iton,IR
Deneric Prince,IR
Lan Larison,IR
Marcellas Dial Jr.,IR
Jaquelin Roy,IR
Yasir Durant,IR
Brock Lampe,IR
Chase Young,Q
Jordan Howden,Q
Trevor Penning,Q
Barry Wesley,IR
Landon Young,IR
Foster Moreau,OUT
Taysom Hill,OUT
John Ridgeway III,IR
Khristian Boyd,Q
Alontae Taylor,Q
Mason Pline,IR
Bub Means,IR
Will Clapp,IR
Nick Saldiveri,IR
Anthony Johnson Jr.,OUT
Jermaine Terry II,Q
Andrew Thomas,Q
Rico Payton,IR
Tre Hawkins III,IR
Joshua Ezeudu,IR
Da'Quan Felton,IR
Victor Dimukeje,OUT
Eric Gray,OUT
TJ Moore,IR
Bryce Ford-Wheaton,IR
Chukwuma Okorafor,Q
Sauce Gardner,Q
Alijah Vera-Tucker,Q
Tyrod Taylor,Q
Ja'Markis Weston,IR
Byron Cowart,IR
Irvin Charles,OUT
Kris Boyd,IR
Gus Hartwig,IR
Tanner McKee,OUT
Willie Lampkin,IR
Lewis Cine,IR
Myles Hinton,IR
Nakobe Dean,OUT
Johnny Wilson,IR
Derrick Harmon,OUT
Donte Kent,IR
Will Howard,IR
Domenique Davis,IR
Cory Trice Jr.,IR
Nick Herbig,Q
Gareth Warren,IR
Cameron McCutcheon,IR
Dean Lowry,IR
Jacob Slade,IR
Donald Parham Jr.,IR
Tanner Mordecai,Q
Jauan Jennings,Q
Jordan Watkins,Q
Jakob Robinson,IR
Carter Bradley,IR
Upton Stout,Q
Jacob Cowing,IR
Jordan James,Q
Kevin Givens,IR
Malik Mustapha,OUT
Kurtis Rourke,OUT
Brandon Aiyuk,OUT
Patrick Taylor Jr.,IR
Nick Bosa,Q
Jason Pinnock,Q
Mac Jones,Q
Dominick Puni,Q
CJ West,Q
Mykel Williams,Q
Ben Bartch,Q
Deommodore Lenoir,Q
Tarron Jackson,IR
Trent Taylor,IR
Tre Tomlinson,IR
John Rhys Plumlee,Q
Christian Haynes,IR
Rylie Mills,OUT
Johnathan Hankins,OUT
Tory Horton,Q
Mike Morris,Q
Jake Bobo,Q
Charles Cross,Q
Tyrice Knight,Q
AJ Finley,IR
Kenny McIntosh,IR
Vita Vea,Q
Cade Otton,Q
Chris Godwin,D
Benjamin Morrison,Q
Jake Majors,IR
Raiqwon O'Neal,IR
Antonio Grier Jr.,IR
Tyrek Funderburk,IR
Jaden Smith,IR
Tristan Wirfs,Q
Jalen McMillan,IR
Christian Izien,Q
JJ Roberts,IR
David Walker,IR
Kevin Winston Jr.,Q
Dan Moore Jr.,Q
L'Jarius Sneed,Q
Tyjae Spears,IR
Anfernee Orji,IR
Treylon Burks,IR
Will Levis,IR
Jonathan Jones,Q
Dorance Armstrong,Q
Noah Brown,Q
Lucas Niang,IR
Sam Cosmi,OUT
Tyree Jackson,IR
